[INF] 2022-11-10 21:11:37	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:37	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:37	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:41	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:41	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:41	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:41	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:41	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:45	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:45	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:45	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:45	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:45	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:49	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:49	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:49	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:49	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:49	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:53	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:53	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:53	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:53	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:53	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:57	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:57	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:12:00	 trying on 192.168.1.123:3100
[OK ] 2022-11-10 21:12:00	 connected on 192.168.1.123:3100
[INF] 2022-11-10 21:12:02	 The master is 192.168.1.123:3100
[INF] 2022-11-10 21:12:04	 trying on 192.168.1.123:3100
[INF] 2022-11-10 21:12:04	 trying on 192.168.1.123:3101
